[2026-07-18T19:12:04.381Z] GET https://aldara.com.mx/admin/conversations?_rsc=KsbKi1tAdQDSy3Op → pending (?ms, ?B)
[2026-07-18T19:12:04.384Z] GET https://aldara.com.mx/admin/emails?_rsc=KsbKi1tAdQDSy3Op → 200 (334ms, 241B)
[2026-07-18T19:12:04.718Z] GET https://aldara.com.mx/admin/agent?_rsc=KsbKi1tAdQDSy3Op → pending (?ms, ?B)
[2026-07-18T19:12:04.779Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-ZZ617W7TE6&gtm=45je67f0v9258376202za200zd9258376202&_p=1784401918552&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AEEAAAQ&ae=a&are=1&cid=139241851.1784401919&frm=0&ngs=1&pscdl=noapi&rcb=8&sr=1280x900&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=26.3.0&uaw=0&ul=en-us&_s=3&tag_exp=115616986~115938466~115938468~118897920~118897930&sid=1784401918&sct=1&seg=0&dl=https%3A%2F%2Faldara.com.mx%2Fadmin%2Flogin&dt=Aldara%20Bienes%20Ra%C3%ADces%20%E2%80%94%20Tu%20pr%C3%B3xima%20propiedad%20en%20Hermosillo&en=form_start&ep.form_id=&ep.form_destination=https%3A%2F%2Faldara.com.mx%2Fadmin%2Flogin&epn.form_length=4&ep.first_field_id=&ep.first_field_name=email&ep.first_field_type=email&epn.first_field_position=1&_et=1715&tfd=8828 → pending (?ms, ?B)
[2026-07-18T19:12:04.904Z] GET https://aldara.com.mx/admin/capacidades?_rsc=KsbKi1tAdQDSy3Op → 200 (338ms, 244B)
[2026-07-18T19:12:04.972Z] GET https://aldara.com.mx/admin/channels?_rsc=KsbKi1tAdQDSy3Op → 200 (455ms, 244B)
[2026-07-18T19:12:05.098Z] GET https://aldara.com.mx/admin/ads?_rsc=KsbKi1tAdQDSy3Op → 200 (428ms, ?B)
[2026-07-18T19:12:05.098Z] GET https://aldara.com.mx/admin/whatsapp?_rsc=KsbKi1tAdQDSy3Op → 200 (426ms, 236B)
[2026-07-18T19:12:05.128Z] GET https://aldara.com.mx/admin/domain?_rsc=KsbKi1tAdQDSy3Op → 200 (397ms, 243B)
[2026-07-18T19:12:05.243Z] GET https://aldara.com.mx/admin/plan?_rsc=KsbKi1tAdQDSy3Op → 200 (445ms, 240B)
[2026-07-18T19:12:09.793Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-ZZ617W7TE6&gtm=45je67f0v9258376202za200zd9258376202&_p=1784401918552&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AEAAAAQ&ae=a&are=1&cid=139241851.1784401919&frm=0&ngs=1&pscdl=noapi&rcb=8&sr=1280x900&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=26.3.0&uaw=0&ul=en-us&_s=4&tag_exp=115616986~115938466~115938468~118897920~118897930&dl=https%3A%2F%2Faldara.com.mx%2Fadmin&dr=https%3A%2F%2Faldara.com.mx%2Fadmin%2Flogin&sid=1784401918&sct=1&seg=1&dt=Aldara%20Bienes%20Ra%C3%ADces%20%E2%80%94%20Tu%20pr%C3%B3xima%20propiedad%20en%20Hermosillo&en=page_view&_et=4116&tfd=13832 → 204 (111ms, ?B)
[2026-07-18T19:12:28.856Z] GET https://aldara.com.mx/admin/ → pending (?ms, ?B)
[2026-07-18T19:12:29.029Z] GET https://aldara.com.mx/admin → pending (?ms, ?B)
[2026-07-18T19:12:31.170Z] POST https://www.google-analytics.com/g/collect?v=2&tid=G-ZZ617W7TE6&gtm=45je67f0v9258376202za200zd9258376202&_p=1784401918552&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AAAAAAQ&are=1&cid=139241851.1784401919&frm=0&ngs=1&pscdl=noapi&rcb=8&sr=1280x900&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=26.3.0&uaw=0&ul=en-us&_s=5&tag_exp=115616986~115938466~115938468~118897920~118897930&sid=1784401918&sct=1&seg=1&dl=https%3A%2F%2Faldara.com.mx%2Fadmin&dr=https%3A%2F%2Faldara.com.mx%2Fadmin%2Flogin&dt=Aldara%20Bienes%20Ra%C3%ADces%20%E2%80%94%20Tu%20pr%C3%B3xima%20propiedad%20en%20Hermosillo&en=user_engagement&_et=26371&tfd=35205 → pending (?ms, ?B)
[2026-07-18T19:12:31.170Z] POST https://www.google.com/g/collect?v=2&tid=G-ZZ617W7TE6&gtm=45je67f0v9258376202za200zd9258376202&_p=1784401918552&gcd=13l3l3l3l1l1&npa=0&dma=0&_eu=AAAAAAQ&are=1&cid=139241851.1784401919&frm=0&ngs=1&pscdl=noapi&rcb=8&sr=1280x900&uaa=arm&uab=64&uafvl=Not%253AA-Brand%3B99.0.0.0%7CHeadlessChrome%3B145.0.7632.6%7CChromium%3B145.0.7632.6&uam=&uamb=0&uap=macOS&uapv=26.3.0&uaw=0&ul=en-us&_s=5&tag_exp=115616986~115938466~115938468~118897920~118897930&sid=1784401918&sct=1&seg=1&dl=https%3A%2F%2Faldara.com.mx%2Fadmin&dr=https%3A%2F%2Faldara.com.mx%2Fadmin%2Flogin&dt=Aldara%20Bienes%20Ra%C3%ADces%20%E2%80%94%20Tu%20pr%C3%B3xima%20propiedad%20en%20Hermosillo&en=user_engagement&_et=26371&tfd=35205&gaf=1 → pending (?ms, ?B)
[2026-07-18T19:12:31.174Z] GET https://aldara.com.mx/_next/static/media/7b89a4fd5e90ede0-s.p.woff2 → 200 (?ms, -571B)
